2024-08-12 20:56:35,111 INFO    MainThread:3726887 [wandb_setup.py:_flush():76] Current SDK version is 0.17.6
2024-08-12 20:56:35,112 INFO    MainThread:3726887 [wandb_setup.py:_flush():76] Configure stats pid to 3726887
2024-08-12 20:56:35,112 INFO    MainThread:3726887 [wandb_setup.py:_flush():76] Loading settings from /users/cmk2000/.config/wandb/settings
2024-08-12 20:56:35,112 INFO    MainThread:3726887 [wandb_setup.py:_flush():76] Loading settings from /users/cmk2000/cmk2000/Deep learning models/LLMs/Conditional-Diffusion-Models-for-IVP/wandb/settings
2024-08-12 20:56:35,112 INFO    MainThread:3726887 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-08-12 20:56:35,112 INFO    MainThread:3726887 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-08-12 20:56:35,112 INFO    MainThread:3726887 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main_training.py', 'program_abspath': '/users/cmk2000/cmk2000/Deep learning models/LLMs/Conditional-Diffusion-Models-for-IVP/main_training.py', 'program': '/users/cmk2000/cmk2000/Deep learning models/LLMs/Conditional-Diffusion-Models-for-IVP/main_training.py'}
2024-08-12 20:56:35,112 INFO    MainThread:3726887 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-08-12 20:56:35,112 INFO    MainThread:3726887 [wandb_init.py:_log_setup():521] Logging user logs to /users/cmk2000/cmk2000/Deep learning models/LLMs/Conditional-Diffusion-Models-for-IVP/wandb/run-20240812_205635-lqlu2qzy/logs/debug.log
2024-08-12 20:56:35,112 INFO    MainThread:3726887 [wandb_init.py:_log_setup():522] Logging internal logs to /users/cmk2000/cmk2000/Deep learning models/LLMs/Conditional-Diffusion-Models-for-IVP/wandb/run-20240812_205635-lqlu2qzy/logs/debug-internal.log
2024-08-12 20:56:35,112 INFO    MainThread:3726887 [wandb_init.py:init():559] calling init triggers
2024-08-12 20:56:35,112 INFO    MainThread:3726887 [wandb_init.py:init():566] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.001, 'architecture': 'Deep Cnn', 'dataset': 'ImageNet - 256', 'epochs': 100}
2024-08-12 20:56:35,112 INFO    MainThread:3726887 [wandb_init.py:init():609] starting backend
2024-08-12 20:56:35,112 INFO    MainThread:3726887 [wandb_init.py:init():613] setting up manager
2024-08-12 20:56:35,113 INFO    MainThread:3726887 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-08-12 20:56:35,115 INFO    MainThread:3726887 [wandb_init.py:init():621] backend started and connected
2024-08-12 20:56:35,117 INFO    MainThread:3726887 [wandb_init.py:init():716] updated telemetry
2024-08-12 20:56:35,131 INFO    MainThread:3726887 [wandb_init.py:init():749] communicating run to backend with 90.0 second timeout
2024-08-12 20:56:35,536 INFO    MainThread:3726887 [wandb_run.py:_on_init():2438] communicating current version
2024-08-12 20:56:35,610 INFO    MainThread:3726887 [wandb_run.py:_on_init():2447] got version response 
2024-08-12 20:56:35,610 INFO    MainThread:3726887 [wandb_init.py:init():800] starting run threads in backend
2024-08-12 20:56:38,657 INFO    MainThread:3726887 [wandb_run.py:_console_start():2416] atexit reg
2024-08-12 20:56:38,657 INFO    MainThread:3726887 [wandb_run.py:_redirect():2258] redirect: wrap_raw
2024-08-12 20:56:38,657 INFO    MainThread:3726887 [wandb_run.py:_redirect():2323] Wrapping output streams.
2024-08-12 20:56:38,657 INFO    MainThread:3726887 [wandb_run.py:_redirect():2348] Redirects installed.
2024-08-12 20:56:38,659 INFO    MainThread:3726887 [wandb_init.py:init():843] run started, returning control to user process
2024-08-12 20:56:44,441 WARNING MsgRouterThr:3726887 [router.py:message_loop():77] message_loop has been closed
